node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
438,7,0,0.1348088531187122,0.0264040823379741,0.0005643337688253,0.2864658058345289,0.0,Team_00#438,stable,Team_00
497,7,0,0.1348088531187122,0.0229302280158268,0.001169127934795,0.2919103313840156,0.0,Team_00#497,stable,Team_00
583,7,0,0.1348088531187122,0.0275157517424161,0.0026395450239104,0.2990514228657014,0.0,Team_00#583,stable,Team_00
408,8,0,0.1348088531187122,0.0310136147270972,0.0018556248032855,0.2971230158730158,0.0,Team_00#408,stable,Team_00
638,8,0,0.1348088531187122,0.0317458183757809,0.0027325132629558,0.3045246568378241,0.5,Team_00#638,stable,Team_00
737,8,0,0.1348088531187122,0.0329787589832822,0.0017224673792104,0.2883967260471834,1.0,Team_00#737,outandin,Team_00
15,9,0,0.1348088531187122,0.0332428659016939,0.000423182430053,0.2899322362052275,0.0,Team_00#15,stable,Team_00
41,9,0,0.1348088531187122,0.0298937024182712,0.0021890939934161,0.2984554060787244,0.0,Team_00#41,stable,Team_00
48,9,0,0.1348088531187122,0.0317297333515644,0.0047868166165541,0.3100414078674948,0.0,Team_00#48,stable,Team_00
74,9,0,0.1348088531187122,0.0287899722466313,0.0029718218303974,0.2955106068080907,0.0,Team_00#74,stable,Team_00
150,9,0,0.1348088531187122,0.0302145075987658,0.0021517437990122,0.3035985808413583,0.0,Team_00#150,stable,Team_00
183,9,0,0.1348088531187122,0.0289914973844537,0.0006918984238599,0.2871524448705657,0.0,Team_00#183,stable,Team_00
213,9,0,0.1348088531187122,0.0276762572363075,0.0021705653441811,0.2953648915187377,0.0,Team_00#213,stable,Team_00
268,9,0,0.1348088531187122,0.028666884190731,0.002458170802671,0.2959486166007905,0.0,Team_00#268,stable,Team_00
360,9,0,0.1348088531187122,0.0280893548939766,0.0035220683354482,0.3079691516709512,0.0,Team_00#360,stable,Team_00
368,9,0,0.1348088531187122,0.0274569082279172,0.0015703756524864,0.2916260954235637,0.0,Team_00#368,stable,Team_00
376,9,0,0.1348088531187122,0.0358799327502225,0.0006881014191846,0.2955106068080907,0.0,Team_00#376,stable,Team_00
377,9,0,0.1348088531187122,0.0308328846027475,0.0031199361982489,0.3007028112449799,0.0,Team_00#377,stable,Team_00
439,9,0,0.1348088531187122,0.0281121972559954,0.002301831088325,0.304369918699187,0.0,Team_00#439,stable,Team_00
567,9,0,0.1348088531187122,0.0318719589866357,0.000958069947644,0.2855100095328884,0.0,Team_00#567,stable,Team_00
743,9,0,0.1348088531187122,0.0294401107404671,0.0056970497338307,0.3089221248066013,0.5,Team_00#743,incoming,Team_00
161,10,0,0.1348088531187122,0.0343452357717222,0.0034533534724379,0.309400826446281,0.0,Team_00#161,stable,Team_00
190,10,0,0.1348088531187122,0.0345528725420242,0.0022321946810659,0.2936274509803921,0.0,Team_00#190,stable,Team_00
192,10,0,0.1348088531187122,0.0341156771949866,0.0010116042276646,0.2960949085516559,0.0,Team_00#192,stable,Team_00
241,10,0,0.1348088531187122,0.0365646484173704,0.0054453729649073,0.3150973172014729,0.0,Team_00#241,stable,Team_00
249,10,0,0.1348088531187122,0.0326479283553199,0.0030431966326867,0.304369918699187,0.0,Team_00#249,stable,Team_00
303,10,0,0.1348088531187122,0.0373275895753847,0.0013146819616695,0.3034447821681864,0.0,Team_00#303,stable,Team_00
312,10,0,0.1348088531187122,0.0391930056203048,0.0009203848865779,0.2946384653221839,0.0,Team_00#312,stable,Team_00
313,10,0,0.1348088531187122,0.0367447916353703,0.0016612837066425,0.300250626566416,0.0,Team_00#313,stable,Team_00
401,10,0,0.1348088531187122,0.0280809980225346,0.0027281903197705,0.3025252525252525,0.0,Team_00#401,stable,Team_00
411,10,0,0.1348088531187122,0.0424399182653202,0.0056919602398193,0.3241341991341991,0.0,Team_00#411,stable,Team_00
507,10,0,0.1348088531187122,0.0421019742869462,0.0033534703601634,0.3084449021627188,0.0,Team_00#507,stable,Team_00
